loan_id,company_id,loan_amount,interest_rate,term_months,purpose,collateral_type,collateral_value,ltv_ratio,origination_date,loan_status,default_flag,days_to_default,loss_amount,recovery_amount
LOAN_000192,COMP_001019,50000000.0,0.0583,24,refinancing,real_estate,99010304.43,0.505,2021-12-10,paid_off,0,,,
LOAN_000193,COMP_004277,50000000.0,0.0669,36,working_capital,securities,99916248.09,0.5004,2022-03-11,paid_off,0,,,
LOAN_000194,COMP_001380,50000000.0,0.0857,24,working_capital,equipment,99581331.88,0.5021,2021-09-09,paid_off,0,,,
LOAN_000195,COMP_004794,25598210.92,0.0558,60,working_capital,unsecured,0.0,,2022-11-12,current,0,,,
LOAN_000196,COMP_001312,50000000.0,0.0883,24,working_capital,securities,84798327.35,0.5896,2023-01-19,paid_off,0,,,
LOAN_000197,COMP_002807,50000000.0,0.065,60,expansion,real_estate,97821783.45,0.5111,2021-09-29,current,0,,,
LOAN_000198,COMP_001518,50000000.0,0.0524,36,equipment,receivables,91796726.55,0.5447,2023-04-06,current,0,,,
LOAN_000199,COMP_003704,50000000.0,0.0861,12,equipment,securities,87948707.37,0.5685,2023-11-07,paid_off,0,,,
LOAN_000200,COMP_004682,50000000.0,0.0649,24,working_capital,unsecured,0.0,,2020-12-22,paid_off,0,,,
LOAN_000201,COMP_000142,50000000.0,0.0461,24,refinancing,inventory,94241716.94,0.5306,2021-09-26,default,1,242,31472126.7,18527873.3
LOAN_000202,COMP_002003,50000000.0,0.05,60,equipment,inventory,92876803.42,0.5383,2020-06-05,paid_off,0,,,
LOAN_000203,COMP_001066,50000000.0,0.0699,60,expansion,securities,75614415.34,0.6612,2022-12-04,current,0,,,
LOAN_000204,COMP_004182,5959514.2,0.0523,48,equipment,securities,11371828.81,0.5241,2021-06-22,paid_off,0,,,
LOAN_000205,COMP_004322,50000000.0,0.07,24,acquisition,equipment,55203545.76,0.9057,2020-01-13,paid_off,0,,,
LOAN_000206,COMP_004792,27848168.39,0.09,12,refinancing,securities,52635849.85,0.5291,2020-05-04,paid_off,0,,,
LOAN_000207,COMP_003427,50000000.0,0.078,60,expansion,equipment,88783315.91,0.5632,2020-10-29,paid_off,0,,,
LOAN_000208,COMP_002226,24714876.01,0.0585,24,refinancing,real_estate,29139455.29,0.8482,2022-04-30,paid_off,0,,,
LOAN_000209,COMP_004430,19209087.19,0.0781,48,expansion,equipment,36957839.25,0.5198,2020-08-02,paid_off,0,,,
LOAN_000210,COMP_004705,50000000.0,0.056,12,acquisition,receivables,61763967.9,0.8095,2022-10-28,paid_off,0,,,
LOAN_000211,COMP_004560,50000000.0,0.0456,48,equipment,unsecured,0.0,,2020-04-24,paid_off,0,,,
LOAN_000212,COMP_002739,12850495.8,0.0765,24,equipment,real_estate,14715855.46,0.8732,2020-11-03,paid_off,0,,,
LOAN_000213,COMP_003568,50000000.0,0.0698,48,working_capital,receivables,61066170.34,0.8188,2022-07-25,current,0,,,
LOAN_000214,COMP_003646,1620181.45,0.0703,60,equipment,inventory,3061923.04,0.5291,2023-10-22,current,0,,,
LOAN_000215,COMP_000767,50000000.0,0.0739,48,working_capital,real_estate,79294373.49,0.6306,2023-04-24,default,1,105,12437593.27,37562406.73
LOAN_000216,COMP_004237,2597912.76,0.0534,24,real_estate,real_estate,4043239.54,0.6425,2023-03-26,paid_off,0,,,
LOAN_000217,COMP_001477,50000000.0,0.0522,12,equipment,unsecured,0.0,,2021-07-16,paid_off,0,,,
LOAN_000218,COMP_004967,25145209.48,0.0771,36,acquisition,securities,41802474.61,0.6015,2022-04-01,paid_off,0,,,
LOAN_000219,COMP_000836,10817780.29,0.0773,12,working_capital,securities,15522827.37,0.6969,2020-03-15,paid_off,0,,,
