company_id,company_name,industry,years_in_business,employee_count,annual_revenue,net_income,total_assets,total_liabilities,current_ratio,quick_ratio,debt_to_equity,interest_coverage_ratio,region,country
COMP_000016,"Montgomery, Hensley and Ray",construction,27,260,95785232.38,9277359.93,60105675.5,27376732.03,3.8547,2.0791,0.8365,7.6956,North America,United States
COMP_000017,Bush & Williams and Sons,manufacturing,28,5746,615442063.49,32387105.36,515470609.63,267959924.83,1.2556,1.0336,1.0826,2.4994,North America,United States
COMP_000018,Galloway-Wyatt,manufacturing,27,5067,1054265298.95,105173522.64,1284716531.42,473203357.49,1.2077,0.7869,0.5831,3.7101,Latin America,Mexico
COMP_000019,Delacruz Group,manufacturing,13,8388,869570587.1,53988453.69,445234035.33,222515410.51,2.3814,1.9032,0.9991,8.4177,Europe,United Kingdom
COMP_000020,FallLong Ltd,manufacturing,5,4077,589545988.99,51655493.36,389700324.42,168931082.1,1.1435,0.979,0.7652,8.2648,North America,Canada
COMP_000021,Flowers and Sons,financial_services,14,15697,3063145944.66,354190116.28,3153734462.42,1178696083.84,1.3164,0.9981,0.5968,6.8562,North America,United States
COMP_000022,HospitalHear and Sons,healthcare,35,1008,143796391.35,8232641.45,160165172.32,86271849.07,3.5593,3.0315,1.1675,2.8316,Asia Pacific,Japan
COMP_000023,Santiago Ltd,healthcare,9,963,295683925.29,15757871.13,161173504.81,98139515.26,1.2962,0.7942,1.5569,4.8987,Asia Pacific,Hong Kong
COMP_000024,Zuniga Ltd,healthcare,41,401,369530034.08,33286460.09,403848985.16,97381971.78,3.2454,2.4498,0.3178,9.0276,Latin America,Chile
COMP_000025,Jones & Reid PLC,manufacturing,35,2652,917579268.59,27179055.37,870713979.58,362920579.36,2.2692,1.1726,0.7147,2.7259,North America,Canada
COMP_000026,ShoulderElection and Sons,healthcare,23,961,786250081.59,114555169.53,430538384.65,159316753.11,2.8151,1.5816,0.5874,10.5458,Europe,Netherlands
COMP_000027,Gray-Mayo,construction,43,866,103838522.17,16488933.09,60507587.85,19687827.46,3.2919,1.7883,0.4823,12.5215,Europe,Germany
COMP_000028,"Watts, Robinson and Nguyen",energy,20,34995,5166632662.22,785347154.26,2859256683.39,890188209.53,2.9277,1.9305,0.4521,20.9102,Asia Pacific,Singapore
COMP_000029,SpecialStand Inc,hospitality,22,898,118890499.2,20273326.09,176654187.9,97253111.29,1.5507,1.3724,1.2248,5.6606,Latin America,Mexico
COMP_000030,DropTerm Inc,construction,39,136,27992954.3,4969891.29,41565339.7,21939911.86,1.5836,0.8199,1.1179,5.3808,Europe,France
COMP_000031,Morales-Jones,professional_services,21,291,60950712.76,7770511.67,88728116.83,46849775.47,2.4904,1.9095,1.1187,4.6605,Europe,Germany
COMP_000032,Gentry & Bradley Ltd,manufacturing,40,1738,349343006.14,39399050.87,314975195.4,159626926.29,1.9091,1.115,1.0275,4.6049,Asia Pacific,Hong Kong
COMP_000033,Edwards & Rios Group,hospitality,31,98,13945267.0,2061427.33,7189215.8,3418527.2,2.9243,1.7941,0.9066,10.5902,North America,United States
COMP_000034,Wilkerson & Day and Sons,retail,10,2585,474544997.55,10997722.87,547174906.57,268145545.87,3.0698,1.6243,0.961,1.8605,Europe,Netherlands
COMP_000035,Baker and Sons,manufacturing,42,11621,1931607745.82,253560403.47,1050363525.43,541295369.53,3.5724,2.8986,1.0633,12.563,Latin America,Brazil
COMP_000036,Mcgee & Ryan Ltd,transportation,9,4062,810313374.64,98615522.64,539717198.48,382691941.98,2.3948,2.1075,2.4371,4.5007,Latin America,Chile
COMP_000037,PatternLater PLC,transportation,29,969,311567631.48,20075511.86,357770218.35,158868459.27,3.2302,2.2887,0.7987,2.97,North America,Canada
COMP_000038,Cox-Osborn,energy,35,1594,1021837534.36,37368715.73,1407012985.44,510142518.21,1.477,0.8649,0.5688,2.3759,Latin America,Mexico
COMP_000039,Taylor & Snyder Inc,construction,50,2008,343695348.12,39564967.26,222703819.44,114504115.33,3.2296,2.1062,1.0583,12.3464,Latin America,Mexico
COMP_000040,Hernandez and Sons,transportation,15,2588,445750968.8,27204070.0,362852582.6,148765419.87,2.7826,2.2797,0.6949,3.8981,Europe,Switzerland
COMP_000041,"Henderson, Brown and James",professional_services,37,51,12642804.37,1611046.8,20198715.91,7618068.64,3.5192,2.0154,0.6055,5.8481,Latin America,Mexico
COMP_000042,Ferrell PLC,financial_services,49,19924,2480932781.46,427682650.07,2190964655.99,1111194815.19,2.3851,1.9071,1.0291,12.9855,Europe,United Kingdom
COMP_000043,King PLC,technology,16,45,18159872.04,933906.2,34227097.55,10871846.86,1.3363,1.026,0.4655,2.3632,Asia Pacific,Singapore
COMP_000044,TraditionalYes Inc,manufacturing,20,3488,1819547600.14,74352910.4,3378807806.67,1148207816.87,2.9772,2.6297,0.5148,2.3855,North America,United States
COMP_000045,Frazier Inc,professional_services,8,220,26248608.17,3112275.33,19459285.99,6403754.43,2.2087,1.6888,0.4905,15.5893,North America,Canada
COMP_000046,RestValue PLC,construction,24,1638,332948530.76,41003036.59,191013703.57,89077094.81,2.2855,1.8136,0.8738,6.7888,Latin America,Mexico
COMP_000047,Potter & Mack LLC,energy,16,27287,3151525207.09,451785119.71,5002465850.18,2873087105.88,1.6573,1.1367,1.3493,3.55,North America,Canada
COMP_000048,Carter and Sons,transportation,14,1664,524867340.97,37484674.09,591380754.5,224082638.58,2.555,2.1769,0.6101,3.9013,Europe,United Kingdom
COMP_000049,LongAbout Ltd,transportation,36,3845,551243176.55,78427398.58,358902369.05,160317714.46,2.4437,1.997,0.8073,15.0059,Europe,France
COMP_000050,Liu & Baker PLC,transportation,36,741,193005910.97,20617628.94,169562873.91,81169635.79,1.9861,1.5514,0.9183,6.7337,North America,United States
COMP_000051,SoundCould PLC,retail,14,2059,484853144.63,60752144.28,530039290.74,261292399.22,2.9917,2.21,0.9723,4.0752,Asia Pacific,Australia
COMP_000052,WhileBorn Ltd,technology,46,3433,387791278.86,41619727.67,425458390.75,234757038.9,2.6226,2.0429,1.231,6.0295,Latin America,Brazil
COMP_000053,FireThought Ltd,transportation,31,2223,940103952.15,87159982.29,1210623132.05,310452861.22,3.7314,2.5788,0.3449,4.9086,North America,United States
COMP_000054,"Lynch, Hernandez and Farmer",healthcare,16,7826,895353213.68,35497663.68,543737264.31,259593118.13,3.1491,1.8589,0.9136,3.4165,Latin America,Mexico
COMP_000055,Ryan PLC,financial_services,37,7676,2993520894.27,361857590.26,2116390526.51,1009155484.73,3.7501,2.1867,0.9114,9.9067,Europe,Germany
COMP_000056,Sellers & George Group,manufacturing,1,17182,1844529727.7,110575818.77,1202386928.25,692332818.27,0.8849,0.5444,1.3574,4.7625,North America,United States
COMP_000057,AfterBrother LLC,construction,8,103,48803788.52,4253805.79,33167093.25,22881949.81,2.9328,1.5502,2.2248,5.7774,Asia Pacific,Hong Kong
COMP_000058,Koch LLC,construction,18,985,102011516.9,10065599.23,82221412.51,22942114.3,1.1274,0.7585,0.387,10.4139,North America,United States
COMP_000059,Brown PLC,financial_services,37,1232,235684171.66,7135607.22,144201972.37,56319560.32,2.9033,2.5155,0.6409,4.2766,Latin America,Brazil
COMP_000060,YourBar Inc,energy,21,5892,3287036791.09,422518429.1,1839828417.38,635729108.94,3.0239,1.8606,0.528,9.7278,North America,Canada
COMP_000061,"Tucker, Jones and Hodges",energy,8,16672,3917339032.41,549520613.29,3541057144.8,1862851159.35,3.3307,2.5416,1.11,6.1288,Europe,Switzerland
COMP_000062,Cannon and Sons,transportation,49,1057,278635541.46,8930669.48,309394160.76,87225711.55,1.8638,1.5886,0.3926,2.6993,Europe,Germany
COMP_000063,"Alvarez, Pierce and Baker",hospitality,27,786,165918764.32,6394614.6,83443953.33,44403661.82,2.3597,1.2907,1.1374,3.0105,Asia Pacific,Singapore
COMP_000064,TurnPolicy Group,transportation,16,3416,363185793.43,32290162.63,506561450.69,167719887.82,2.6271,2.0978,0.495,6.056,Latin America,Mexico
COMP_000065,DevelopmentWoman PLC,technology,19,719,141186320.33,19056795.94,80392440.59,35068378.02,2.8937,2.4483,0.7737,11.3787,Asia Pacific,Hong Kong
COMP_000066,Campos & Vaughn Ltd,retail,45,2694,272262649.41,16677085.09,253395746.44,130226194.19,2.2148,1.3893,1.0573,3.5524,Latin America,Mexico
COMP_000067,Collins & Carney Ltd,transportation,3,701,149514982.73,4681961.95,76751874.02,37868575.27,1.0667,0.8939,0.9739,4.6981,North America,United States
COMP_000068,Kim-Holmes,healthcare,31,5334,803185995.85,117199250.32,894880689.01,393249061.93,2.1768,1.1583,0.7839,7.4888,Latin America,Mexico
COMP_000069,CameraEnd and Sons,hospitality,3,39,15835578.09,1365533.06,18582970.61,12154864.74,1.4967,0.8845,1.8909,4.4459,North America,Canada
COMP_000070,Morgan PLC,technology,3,1270,493456581.36,26382699.42,844701221.19,426962074.53,1.8261,1.0915,1.0221,2.2938,Europe,Germany
COMP_000071,Spencer & Chapman Inc,professional_services,44,548,77338354.55,4761679.76,41374146.04,11824634.55,2.3589,1.4191,0.4002,10.2198,Latin America,Mexico
COMP_000072,Zimmerman Inc,healthcare,29,397,202722103.13,34758074.79,102308554.47,34347985.49,3.7914,2.9426,0.5054,20.0712,Latin America,Mexico
COMP_000073,DropAuthor Inc,professional_services,23,8,1049450.65,119291.75,527617.18,176474.14,3.8369,2.9287,0.5026,16.4864,North America,Canada
COMP_000074,Heath Inc,retail,39,3726,408099791.37,60848244.27,492572646.64,148186656.69,1.7568,1.4094,0.4303,7.0779,Europe,United Kingdom
COMP_000075,MyEconomy LLC,financial_services,29,29975,3537218145.8,103303985.05,3377490378.97,952627166.75,3.6415,2.2967,0.3929,3.016,Asia Pacific,Singapore
COMP_000076,"Washington, Ryan and Cummings",transportation,19,3140,731717096.36,101066378.35,725857336.67,205980647.72,3.7501,2.0862,0.3962,7.4085,Latin America,Chile
COMP_000077,UsOwn PLC,technology,17,2023,385863903.0,39481600.76,326400561.52,159757722.08,2.8603,2.099,0.9587,4.651,North America,United States
COMP_000078,Kennedy Group,professional_services,15,78,7867442.85,901721.38,5414225.44,2366754.55,2.8694,2.1799,0.7766,11.4504,North America,Canada
COMP_000079,Lee-Davis,healthcare,16,2493,361673399.9,54824246.17,514108626.55,217818880.82,2.8211,2.2491,0.7352,4.2238,Europe,Netherlands
COMP_000080,LawyerHealth Group,professional_services,27,18,12028971.42,2050846.74,13080510.95,6028674.24,1.6614,1.1262,0.8549,9.0823,Asia Pacific,Singapore
COMP_000081,Jenkins & Shields Inc,retail,8,4274,431825506.09,59434971.29,248706348.59,87081081.96,1.4186,1.0722,0.5388,9.5088,Asia Pacific,Australia
COMP_000082,ReportReady Ltd,healthcare,49,6181,625181636.19,69055322.26,453169857.36,226665118.88,1.7064,1.3817,1.0007,5.4262,Asia Pacific,Australia
COMP_000083,Garcia Group,manufacturing,8,5130,668487069.46,67985130.82,1240995025.95,394862150.44,2.8425,1.6918,0.4667,4.5973,North America,United States
COMP_000084,Chandler Inc,healthcare,31,463,68240558.53,6409899.36,65423522.37,28130356.41,2.3327,1.3731,0.7543,4.8414,Asia Pacific,Hong Kong
COMP_000085,EnergyDark and Sons,technology,31,333,156180178.54,24391997.37,137071045.32,37632551.95,3.0775,2.0848,0.3785,9.5752,Europe,United Kingdom
COMP_000086,Herrera & Taylor and Sons,construction,39,840,165965744.4,17719642.5,140580655.87,60974971.95,1.3237,1.0334,0.766,5.061,Europe,Netherlands
COMP_000087,Ramirez and Sons,construction,22,666,366155058.28,56050063.98,333445618.2,157878498.34,1.9339,1.2087,0.8992,9.4871,Latin America,Brazil
COMP_000088,Ramos PLC,healthcare,28,2674,639369684.0,24976370.25,397569997.71,198692035.58,2.6312,1.9329,0.9991,3.0962,North America,Canada
COMP_000089,Garcia & Pearson PLC,technology,19,3489,443719158.55,51339596.98,431856375.48,188098185.68,1.6294,1.2427,0.7717,7.4661,Asia Pacific,Japan
COMP_000090,ThinkAdministration Inc,construction,36,626,238746387.96,42026352.37,138192185.86,60299255.11,2.8781,1.4693,0.7741,10.2479,Asia Pacific,Japan
COMP_000091,WithSome and Sons,energy,23,5925,1239962747.09,30940174.35,687038357.84,289396186.67,2.1862,1.2172,0.7278,2.5462,Europe,Netherlands
COMP_000092,Russell Group,manufacturing,24,4929,1429357126.57,103793381.9,1448808337.44,784168056.92,2.7452,2.3426,1.1798,4.6053,North America,United States
COMP_000093,Lewis Group,transportation,39,5345,763177198.13,70944107.6,838886479.28,403992465.7,1.3655,0.9176,0.9289,5.0478,Latin America,Chile
COMP_000094,Martin Inc,retail,26,1541,281516044.39,49989795.7,483560856.44,147686932.29,3.7436,3.0209,0.4397,5.8783,North America,United States
COMP_000095,Galloway LLC,manufacturing,9,1804,1544224688.11,105066621.16,992746925.78,506407193.19,2.9889,2.4583,1.0413,7.3189,North America,Canada
COMP_000096,House Group,energy,37,46048,4963266183.83,451500128.72,4485010146.37,1995135836.98,1.868,1.2366,0.8013,3.7586,Latin America,Chile
COMP_000097,Mitchell Ltd,construction,7,1475,263752750.54,12800784.31,190668277.85,102991399.5,1.8461,1.1522,1.1747,3.5791,Europe,United Kingdom
COMP_000098,Bernard & Cowan PLC,hospitality,33,220,86080662.65,4669787.99,51720526.71,18223826.64,3.7805,2.8663,0.544,7.6955,Asia Pacific,Australia
COMP_000099,Stanley Group,healthcare,12,71,30292031.11,4526074.66,21008075.87,9793082.18,2.4075,1.7617,0.8732,8.3678,Asia Pacific,Singapore
COMP_000100,Moore LLC,transportation,29,197,116812512.72,14309074.75,68936494.89,29591288.39,2.0466,1.084,0.7521,9.9238,Asia Pacific,Singapore
COMP_000101,Robinson & Brown Ltd,professional_services,39,23,3627203.98,373974.09,3037687.58,1267873.8,3.3046,2.8365,0.7164,6.7437,Europe,France
COMP_000102,Daniels & Adkins Inc,technology,29,1821,318568795.22,12789356.15,172321347.54,60295254.71,3.0829,2.1637,0.5382,6.3903,Latin America,Mexico
COMP_000103,Silva PLC,energy,24,19135,3177842011.71,531329270.72,2939384885.29,1433916402.46,2.9816,1.5533,0.9525,6.9546,Asia Pacific,Japan
COMP_000104,"Moore, Yu and Miller",financial_services,17,24736,2547767748.91,331355864.95,1715846307.64,977658148.38,3.4151,2.163,1.3244,6.5878,Asia Pacific,Singapore
COMP_000105,Lopez PLC,manufacturing,39,10127,1816057283.11,244401549.99,2896060430.98,1213029572.62,2.8804,1.8187,0.7207,6.6179,North America,Canada
COMP_000106,Jones & Hensley Group,energy,20,17605,2530457680.03,131890025.15,3081080722.2,1673808950.97,2.4307,1.4356,1.1894,2.9675,North America,United States
COMP_000107,CallYear PLC,professional_services,25,402,41333100.84,1986610.63,53591034.36,24743548.9,2.8268,2.434,0.8577,2.0329,Asia Pacific,Australia
COMP_000108,Riley Inc,transportation,15,6007,757995627.16,74559174.43,786137914.18,441105594.85,2.244,1.8716,1.2784,4.6717,Latin America,Mexico
COMP_000109,Harvey Group,hospitality,34,344,46530834.93,4155719.54,62618264.97,19029895.74,2.7693,2.3517,0.4366,7.6891,Asia Pacific,Japan
COMP_000110,"Silva, Mills and Donovan",financial_services,6,3694,394129750.05,43223726.05,433496928.56,309990308.0,1.2253,0.8271,2.5099,2.6922,Latin America,Mexico
COMP_000111,DemocraticRelationship Ltd,technology,26,325,145585975.0,14895353.86,170541857.78,95204670.19,2.1123,1.0799,1.2637,3.1797,Asia Pacific,Australia
COMP_000112,Allen-Foster,transportation,45,1604,169609074.38,26060983.1,103529900.66,40388592.11,2.7999,2.4145,0.6397,21.7345,Europe,Switzerland
COMP_000113,Powers & Evans LLC,healthcare,50,5417,930049164.08,64121166.5,977222845.9,249465275.05,2.2407,1.8319,0.3428,5.7073,Latin America,Chile
COMP_000114,Smith PLC,manufacturing,19,7304,1618159555.33,144736679.82,1137774715.77,369668774.05,2.2056,1.689,0.4813,12.6112,North America,United States
COMP_000115,OrderBlack Inc,technology,41,697,317068474.5,26745831.17,299134302.0,143327601.12,2.0613,1.0863,0.9199,5.4999,North America,Canada
COMP_000116,Medina & Wagner and Sons,hospitality,22,232,174420657.45,26321364.96,228708303.35,111912834.6,2.3688,1.8433,0.9582,4.9435,North America,Canada
COMP_000117,Mahoney Inc,technology,13,1693,402032366.37,57595926.75,413021323.18,164625562.89,2.0029,1.6547,0.6628,7.3334,Europe,France
COMP_000118,UntilElection LLC,energy,18,10442,1906372085.92,80012021.1,1812091223.86,998222107.38,3.0928,2.6532,1.2265,2.8143,Latin America,Chile
COMP_000119,Moore-Bass,healthcare,47,4477,893096203.5,80576878.49,779376771.39,435228471.51,1.5561,0.9609,1.2647,6.2012,Asia Pacific,Singapore
COMP_000120,"Turner, Riggs and Roman",manufacturing,45,7627,1083291061.41,101016574.56,925340531.73,437297989.82,3.6472,2.7206,0.896,5.5198,North America,United States
COMP_000121,NewspaperAcross Ltd,energy,33,64725,8084029543.88,1204285740.35,5321535691.58,2899665455.22,1.4483,1.0762,1.1973,6.8273,North America,United States
COMP_000122,TechnologyOnce LLC,energy,25,38577,8966108434.24,1543218514.88,16344273127.17,4725132830.72,2.3268,1.5087,0.4067,7.0878,Europe,Switzerland
COMP_000123,WorkRecord Inc,financial_services,16,15916,1596837340.11,259089604.37,2963307117.92,976376842.4,2.4044,2.0808,0.4914,8.504,Latin America,Brazil
COMP_000124,WrongUnit and Sons,transportation,13,878,118951405.28,4531981.54,66855198.3,30216413.58,3.3186,2.2502,0.8247,5.4341,Asia Pacific,Singapore
COMP_000125,Baker Inc,financial_services,11,9309,1147396461.08,131704920.75,606771306.29,330070489.73,2.9662,2.0868,1.1929,11.9434,Europe,Germany
COMP_000126,"Tran, Nelson and Jacobs",energy,36,20196,4299722496.83,487052250.45,3579794473.1,1985224520.89,1.4111,1.2047,1.245,8.3296,Latin America,Chile
COMP_000127,Robbins and Sons,professional_services,5,400,81892469.21,2674872.85,83945653.5,30441431.32,1.9617,1.3868,0.569,3.5445,Europe,Germany
COMP_000128,RightProtect LLC,healthcare,34,2383,861426930.34,41236862.77,1153204168.15,395838991.76,3.0687,1.9591,0.5227,2.5101,North America,Canada
COMP_000129,Wagner LLC,manufacturing,41,200,23834739.76,1698002.08,18331354.64,7347636.01,1.5223,1.3345,0.669,7.1918,Asia Pacific,Japan
COMP_000130,Davis Group,healthcare,3,2743,513193566.06,63249843.68,309799680.83,143339074.84,1.3206,0.9626,0.8611,8.0571,Asia Pacific,Singapore
COMP_000131,Calderon & Williams LLC,financial_services,30,20464,2092880905.71,74054062.6,3548040253.7,1350645823.92,2.425,1.4104,0.6147,1.8338,Asia Pacific,Singapore
COMP_000132,Wise & Walsh LLC,energy,33,10764,2259972714.18,252252707.05,2309219523.22,898912704.41,1.805,1.0815,0.6374,8.9705,Latin America,Chile
COMP_000133,Martin & Ramos Ltd,energy,37,6895,1242660404.97,169618218.0,1583508864.01,460784566.29,3.8885,2.6703,0.4104,5.9765,North America,Canada
COMP_000134,LateOption Inc,retail,38,375,170132355.36,13449240.66,295465823.85,117703581.26,3.5635,2.7143,0.6621,3.1493,North America,Canada
COMP_000135,Rodriguez Ltd,energy,49,33176,9431951553.93,819708605.34,16609537379.54,4258194737.76,2.6468,1.7072,0.3448,5.2872,Latin America,Chile
COMP_000136,WellChurch PLC,manufacturing,7,881,653173834.72,43720212.64,385957656.11,178224503.3,3.1666,2.5396,0.8579,7.1436,North America,United States
COMP_000137,Davenport PLC,transportation,34,2914,523602715.53,49894215.47,371509961.34,150447355.4,1.978,1.474,0.6806,9.895,Asia Pacific,Singapore
COMP_000138,Tran & Jordan Inc,professional_services,20,238,70450386.41,6910002.55,134202604.54,46433654.27,1.3535,0.9022,0.529,4.4385,North America,Canada
COMP_000139,FootHis Inc,technology,38,213,182451171.59,18053545.3,141836502.11,66773576.74,3.2554,2.1228,0.8896,4.7005,North America,United States
COMP_000140,WayHelp and Sons,construction,10,1393,486032130.95,35813187.3,603139114.82,302008523.17,2.467,1.6989,1.0029,2.7284,Europe,Switzerland
COMP_000141,Fleming & Estrada LLC,transportation,34,2628,962822821.99,79706964.85,497575592.41,192607695.54,2.5647,1.8428,0.6316,7.6341,Asia Pacific,Hong Kong
COMP_000142,StateOpportunity Group,financial_services,36,7654,1266393656.17,89364169.03,662260695.16,367106530.6,3.2456,2.5379,1.2438,4.769,Latin America,Mexico
COMP_000143,Dickson Ltd,financial_services,8,23910,2491270044.4,226132345.57,1894809837.21,1297255694.68,1.8681,1.192,2.1709,3.3977,North America,Canada
COMP_000144,Moore & Spears and Sons,energy,29,9685,3043739182.68,384520562.33,1877683301.31,579219818.31,3.4079,2.0736,0.4461,12.3346,North America,United States
COMP_000145,Keith Inc,retail,4,989,143850566.2,4180678.16,144509466.47,79138723.52,2.4365,1.3522,1.2106,1.8665,Europe,Netherlands
COMP_000146,White & Middleton Group,transportation,42,221,46518077.88,2563850.01,23906043.35,8194362.09,2.8873,2.4922,0.5215,10.1057,North America,United States
COMP_000147,"Shields, Cochran and Adams",technology,26,1086,305172602.66,44836525.87,391514236.4,187801950.01,3.5348,2.1767,0.9219,8.4098,North America,Canada
COMP_000148,Cobb & Rodriguez Inc,manufacturing,33,6173,1010331256.23,98013487.94,1280168992.21,353386763.1,1.5047,1.0286,0.3813,7.3452,Asia Pacific,Singapore
COMP_000149,Garrison & Walker Group,manufacturing,40,439,112442714.99,17716345.39,60925931.74,30745463.83,2.5137,1.3441,1.0187,9.9537,Europe,Netherlands
COMP_000150,Bailey and Sons,technology,17,218,140044585.65,11153952.51,119685661.7,41871555.81,1.9141,1.403,0.5381,5.447,Asia Pacific,Australia
COMP_000151,Walker & Keller Group,transportation,20,5938,909183227.11,44473447.39,594583104.9,318336181.95,3.5791,2.8917,1.1524,3.221,Asia Pacific,Singapore
COMP_000152,Murphy Inc,manufacturing,31,3467,486728162.43,23312793.53,300152618.01,130217150.27,2.2293,1.6044,0.7663,4.3588,Europe,Germany
COMP_000153,Bell-Hicks,hospitality,29,117,29834079.55,3174197.11,28612955.77,15265535.7,1.3609,1.1316,1.1437,3.648,Europe,Germany
COMP_000154,"Zavala, Herrera and Crosby",healthcare,44,747,492005496.48,27573282.86,357894664.6,96309928.89,2.4997,2.0584,0.3682,6.4408,Latin America,Chile
COMP_000155,Wiley LLC,financial_services,47,48669,4928395766.01,135019273.86,5589741386.49,1346931758.79,1.6632,0.8802,0.3175,3.0386,North America,United States
COMP_000156,Carpenter LLC,technology,19,1074,121785580.48,10512554.2,73655075.35,36620675.92,3.7937,2.877,0.9888,6.8239,Latin America,Mexico
COMP_000157,Johnson PLC,construction,6,2875,337707095.97,33789131.64,226240790.67,126011078.41,2.4392,1.5589,1.2572,7.9039,Europe,Germany
COMP_000158,Reed-Hartman,financial_services,30,31570,3810481880.49,491803569.84,2894033921.83,1187186991.53,3.3948,2.0335,0.6955,9.6669,North America,United States
COMP_000159,Obrien-Dixon,professional_services,50,185,24144935.63,4105921.57,13168322.35,4174532.19,1.2325,0.909,0.4642,19.8671,North America,United States
COMP_000160,Cruz & Ray LLC,transportation,15,2289,730934185.13,72498184.21,447992025.42,246119159.77,1.3577,1.2184,1.2192,8.2291,Asia Pacific,Singapore
COMP_000161,Fletcher Inc,hospitality,15,723,74188843.41,6019616.69,81282276.05,38236688.21,2.5745,2.0444,0.8883,5.1335,Latin America,Brazil
COMP_000162,"Frost, Ryan and Ball",hospitality,21,1170,126828860.29,16820564.91,114014869.85,38304928.01,1.5659,1.1199,0.5059,11.3334,Europe,Netherlands
COMP_000163,Harmon Ltd,construction,36,1088,318597206.83,33987543.17,294281173.35,94640415.3,1.9846,1.055,0.4741,7.7903,Europe,United Kingdom
COMP_000164,Gonzalez Group,healthcare,13,5076,538095810.65,71072154.82,389536225.09,208193632.94,1.5265,0.8908,1.1481,5.4517,North America,United States
COMP_000165,Rush LLC,transportation,16,333,99386872.35,12292485.14,63887563.87,25785946.19,1.6449,1.0341,0.6768,11.7833,Asia Pacific,Singapore
COMP_000166,"Edwards, Charles and Cortez",transportation,7,959,836949470.63,97842900.93,528503858.56,338734339.03,1.6625,0.9663,1.785,7.1463,Europe,Germany
COMP_000167,Hunter-Estrada,financial_services,10,10912,1610692524.21,73294453.39,1906081976.54,1006250801.2,1.5417,1.1104,1.1183,1.8789,Latin America,Chile
COMP_000168,Nguyen Ltd,transportation,11,1664,194653325.3,22884534.71,189302822.52,66040891.26,2.3328,1.3381,0.5358,5.8494,North America,United States
COMP_000169,Phillips and Sons,technology,49,148,21346795.64,533581.87,30226095.06,13354630.16,1.2344,0.6918,0.7916,1.9584,North America,Canada
COMP_000170,Lee Ltd,technology,35,580,295855578.65,32560798.58,571396357.25,233937466.5,1.8258,1.6267,0.6932,5.6359,Latin America,Brazil
COMP_000171,Bentley & Byrd and Sons,hospitality,10,433,135835308.01,6971875.98,95011567.67,38096529.72,1.8167,1.486,0.6694,6.574,Latin America,Chile
COMP_000172,Gilbert & Turner PLC,financial_services,44,624,92773266.35,14210794.1,149411297.48,83272280.8,2.8987,1.4861,1.259,4.346,Latin America,Brazil
COMP_000173,Torres and Sons,healthcare,32,4688,514532593.01,80200940.29,350651708.12,121327804.41,3.8352,3.4115,0.5291,10.0121,Europe,Germany
